Sub#,Cond,RT,ACC,Response Given,Correct Response
1,2,0.883918996,1,0,0
1,0,2.134376562,1,0,0
1,100,0.952799738,0,0,1
1,2,0.733854569,1,0,0
1,0,0.900586528,1,0,0
1,2,1.684221084,1,0,0
1,2,0.633822153,1,0,0
1,100,1.250710998,1,1,1
1,100,1.033970608,1,1,1
1,100,0.717181457,1,0,0
1,100,0.56713894,1,0,0
1,0,1.334078589,1,1,1
1,2,0.850570536,1,1,1
1,2,0.950611586,1,0,0
1,100,0.68383387,1,0,0
1,100,1.000589489,1,1,1
1,0,0.633813048,1,0,0
1,100,0.717218992,1,1,1
1,2,0.733856453,1,0,0
1,100,0.60047094,1,0,0
1,100,0.733859736,1,0,0
1,0,2.3511365,1,0,0
1,2,0.71718781,1,1,1
1,0,0.68600841,0,0,1
1,0,0.533798206,1,1,1
1,100,0.650490593,1,0,0
1,100,0.833895877,1,0,0
1,2,0.633817898,1,0,0
1,100,0.800549609,1,0,0
1,2,0.967283091,1,0,0
1,2,0.717196914,1,1,1
1,2,0.833891339,1,1,1
1,0,1.184028078,1,0,0
1,0,0.61715094,1,0,0
1,0,1.367420686,1,0,0
1,100,2.086533165,0,1,0
1,0,1.200698873,1,1,1
1,0,0.917257225,1,0,0
1,0,1.334078792,1,0,0
1,0,0.900588834,1,1,1
1,2,1.033968252,1,0,0
1,100,1.152837411,0,1,0
1,2,0.633777477,1,1,1
1,100,1.05063157,1,0,0
1,0,0.60047342,1,0,0
1,0,0.61715214,1,0,0
1,0,0.633826164,1,1,1
1,2,0.583804955,1,1,1
1,2,0.600476559,1,0,0
1,100,0.667272414,1,1,1
1,100,0.683831034,1,1,1
1,100,0.483763453,1,1,1
1,100,0.483766255,1,1,1
1,100,0.569277244,0,1,0
1,100,0.717185752,1,1,1
1,100,0.500431036,1,0,0
1,2,0.519275871,0,1,0
1,0,0.867237632,1,0,0
1,100,0.517109384,1,1,1
1,2,0.517113123,1,1,1
1,0,1.400762452,1,1,1
1,0,0.683841115,1,1,1
1,2,0.617143407,1,1,1
1,0,0.652628556,0,1,0
1,100,0.717178413,1,0,0
1,0,0.900583682,1,0,0
1,100,0.535944093,0,1,0
1,100,0.60047759,1,1,1
1,0,3.301469939,1,0,0
1,100,0.585951923,0,1,0
1,100,1.517476093,1,0,0
